time,rgdp,cpi,aff,manu,m2
1985,3.8058556682635496,,,,
1986,2.78929157511523,,,,
1987,3.58346963264538,,,,
1988,5.135011671015651,,,,
1989,7.36451289315325,,,,
1990,5.10091814039046,,,,
1991,5.96084393175285,,,,
1992,8.64604745955859,,,,
1993,8.07273065711568,,,,
1994,8.838980952401231,,,,
1995,9.54048017490108,,,,
1996,9.34001749599132,42.4798,,,
1997,8.15208414329487,43.8431,,,
1998,5.7644554639503,47.0289,,,
1999,4.77358688057245,48.9651,,,
2000,6.78731640822197,48.1276,,,
2001,6.192893311812299,47.9199,,,
2002,6.320820987710491,49.7557,,,123860.0
2003,6.8990634917423295,51.3578,,,152274.0
2004,7.53641061182057,55.3427,,,190928.0
2005,7.547247727228099,59.9258,,,228287.0
2006,6.97795481183347,64.3518,,,279472.0
2007,7.129504483963231,69.6955,,,315915.0
2008,5.66177120802432,85.8075,,,430549.0
2009,5.397897542766759,91.784,,,454786.0
2010,6.42323821717497,100.0,,,599974.0
2011,6.24030274887527,118.675,131.6,116.49,721804.0
2012,5.2473671560487,129.468,128.8,119.87,734883.0
2013,5.42188299130713,138.003,129.53,123.99,828348.0
2014,5.9836546369785095,144.503,135.51,125.34,877697.0
2015,6.67928878891428,145.773,135.13,125.39,1020589.0
2016,6.21081166789992,150.501,137.44,125.54,1131498.0
2017,6.8122456596397996,155.799,137.33,128.22,1293627.0
2018,7.07578861674985,,140.05,131.09,1424914.0
2019,7.017434882187799,,141.89,132.21,
